name,pos,team,adp,stdev
Jahmyr Gibbs,RB,DET,1.5,0.7
Bijan Robinson,RB,ATL,2.3,0.7
Puka Nacua,WR,LAR,2.9,0.9
Ja'Marr Chase,WR,CIN,3.9,1.0
Jaxon Smith-Njigba,WR,SEA,5.5,1.2
Amon-Ra St. Brown,WR,DET,6.4,1.3
Christian McCaffrey,RB,SF,6.6,1.7
Jonathan Taylor,RB,IND,7.4,1.7
De'Von Achane,RB,MIA,10.3,1.9
CeeDee Lamb,WR,DAL,10.4,1.9
Justin Jefferson,WR,MIN,11.8,2.2
Drake London,WR,ATL,11.9,2.2
James Cook III,RB,BUF,12.3,2.8
Chase Brown,RB,CIN,13.1,2.5
Rashee Rice,WR,KC,15.9,2.4
Derrick Henry,RB,BAL,16.7,2.4
A.J. Brown,WR,NE,17.4,2.8
Saquon Barkley,RB,PHI,18.8,3.4
Chris Olave,WR,NO,18.9,3.0
George Pickens,WR,DAL,20.3,3.1
Ashton Jeanty,RB,LV,21.0,4.7
Kenneth Walker,RB,KC,21.2,3.9
Nico Collins,WR,HOU,21.2,3.1
Omarion Hampton,RB,LAC,22.6,4.2
Zay Flowers,WR,BAL,26.0,3.5
Garrett Wilson,WR,NYJ,26.7,3.4
Malik Nabers,WR,NYG,26.9,3.4
Jeremiyah Love,RB,ARI,27.2,3.6
Trey McBride,TE,ARI,29.1,4.6
DeVonta Smith,WR,PHI,29.7,3.4
Tetairoa McMillan,WR,CAR,31.1,3.6
Josh Jacobs,RB,GB,31.6,3.7
Kyren Williams,RB,LAR,31.8,4.1
Breece Hall,RB,NYJ,33.5,4.0
Josh Allen,QB,BUF,34.1,8.9
Brock Bowers,TE,LV,35.1,7.0
Emeka Egbuka,WR,TB,35.1,3.9
Javonte Williams,RB,DAL,36.8,4.9
Tee Higgins,WR,CIN,36.8,4.9
Travis Etienne Jr.,RB,NO,37.3,5.1
Ladd McConkey,WR,LAC,38.0,4.6
Cam Skattebo,RB,NYG,39.6,5.3
Davante Adams,WR,LAR,42.1,4.7
D'Andre Swift,RB,CHI,45.0,4.8
Jaylen Waddle,WR,DEN,45.1,5.1
Jameson Williams,WR,DET,45.3,4.7
Bucky Irving,RB,TB,45.5,5.3
DJ Moore,WR,BUF,48.0,6.3
Terry McLaurin,WR,WAS,48.1,5.0
Quinshon Judkins,RB,CLE,50.7,5.2
Drake Maye,QB,NE,52.2,8.2
Bhayshul Tuten,RB,JAX,52.9,5.4
Rome Odunze,WR,CHI,54.0,5.8
Mike Evans,WR,SF,55.1,6.2
Luther Burden III,WR,CHI,55.4,6.5
Colston Loveland,TE,CHI,55.9,9.3
Lamar Jackson,QB,BAL,56.8,7.8
Joe Burrow,QB,CIN,56.8,8.3
David Montgomery,RB,HOU,57.5,6.3
Christian Watson,WR,GB,58.9,6.6
Courtland Sutton,WR,DEN,60.9,6.6
Rhamondre Stevenson,RB,NE,61.7,6.7
Jaylen Warren,RB,PIT,62.2,5.6
TreVeyon Henderson,RB,NE,64.1,6.5
Parker Washington,WR,JAX,64.1,7.9
Marvin Harrison Jr.,WR,ARI,64.3,7.4
Tyler Warren,TE,IND,65.4,8.8
Dak Prescott,QB,DAL,65.4,8.5
DK Metcalf,WR,PIT,65.8,7.4
Tony Pollard,RB,TEN,69.6,6.3
Alec Pierce,WR,IND,69.9,6.9
Jayden Daniels,QB,WAS,72.1,10.8
Brian Thomas Jr.,WR,JAX,72.8,7.5
Jadarian Price,RB,SEA,73.7,10.5
Rico Dowdle,RB,PIT,74.8,7.9
Michael Wilson,WR,ARI,75.3,8.0
Michael Pittman Jr.,WR,PIT,75.8,7.5
Matthew Stafford,QB,LAR,75.8,12.8
Harold Fannin Jr.,TE,CLE,76.6,9.3
Kyle Pitts Sr.,TE,ATL,77.4,10.3
Jalen Hurts,QB,PHI,78.5,11.1
Chris Godwin Jr.,WR,TB,79.4,8.1
Carnell Tate,WR,TEN,80.2,8.3
Seattle Defense,DEF,SEA,81.9,8.5
Chuba Hubbard,RB,CAR,82.7,9.4
Jakobi Meyers,WR,JAX,86.3,7.7
Wan'Dale Robinson,WR,TEN,86.4,8.1
J.K. Dobbins,RB,DEN,87.2,10.4
Denver Defense,DEF,DEN,87.2,7.6
Brock Purdy,QB,SF,87.2,11.2
Josh Downs,WR,IND,89.4,8.8
Caleb Williams,QB,CHI,90.0,12.4
Kenny Gainwell,RB,TB,91.2,10.8
Trevor Lawrence,QB,JAX,91.6,12.1
Stefon Diggs,WR,WAS,91.8,9.0
Jonathon Brooks,RB,CAR,92.8,12.4
RJ Harvey,RB,DEN,94.1,12.0
Jayden Reed,WR,GB,94.7,8.3
Quentin Johnston,WR,LAC,96.5,9.4
Jordan Addison,WR,MIN,96.9,8.3
Houston Defense,DEF,HOU,97.9,9.6
George Kittle,TE,SF,99.6,19.5
Jared Goff,QB,DET,101.2,12.9
Tucker Kraft,TE,GB,101.6,18.7
Patrick Mahomes,QB,KC,102.8,12.9
