name,pos,espn_rank,espn_proj,bye,status
Jahmyr Gibbs,RB,1,365,6,ACTIVE
Bijan Robinson,RB,2,352.8,11,ACTIVE
Ja'Marr Chase,WR,3,337.4,6,QUESTIONABLE
Puka Nacua,WR,4,353.6,11,QUESTIONABLE
Jonathan Taylor,RB,5,316.3,13,ACTIVE
Jaxon Smith-Njigba,WR,6,326.7,11,ACTIVE
Christian McCaffrey,RB,7,341.8,8,QUESTIONABLE
Amon-Ra St. Brown,WR,8,324.4,6,ACTIVE
James Cook III,RB,9,280.3,7,ACTIVE
De'Von Achane,RB,10,293.6,6,ACTIVE
CeeDee Lamb,WR,11,293.5,14,ACTIVE
Justin Jefferson,WR,12,294.7,6,ACTIVE
Omarion Hampton,RB,13,261.7,7,ACTIVE
Chase Brown,RB,14,271.7,6,ACTIVE
Saquon Barkley,RB,15,273.3,10,ACTIVE
Derrick Henry,RB,16,277.8,13,ACTIVE
Drake London,WR,17,269.8,11,ACTIVE
Ashton Jeanty,RB,18,280.8,13,QUESTIONABLE
A.J. Brown,WR,19,249.2,11,ACTIVE
Trey McBride,TE,20,241.7,14,ACTIVE
Jeremiyah Love,RB,21,278.1,14,QUESTIONABLE
Brock Bowers,TE,22,240.9,13,ACTIVE
Nico Collins,WR,23,248.2,8,ACTIVE
Chris Olave,WR,24,250.2,8,ACTIVE
Kenneth Walker,RB,25,273.1,5,QUESTIONABLE
Josh Allen,QB,26,370.6,7,ACTIVE
Rashee Rice,WR,27,259.3,5,ACTIVE
Garrett Wilson,WR,29,249.8,13,ACTIVE
Breece Hall,RB,30,274.6,13,QUESTIONABLE
Javonte Williams,RB,31,259,14,ACTIVE
Kyren Williams,RB,32,232,11,ACTIVE
Malik Nabers,WR,33,245,8,QUESTIONABLE
Travis Etienne Jr.,RB,34,246.8,8,ACTIVE
DeVonta Smith,WR,35,239,10,ACTIVE
Tetairoa McMillan,WR,36,236.1,5,ACTIVE
Zay Flowers,WR,38,238.5,13,QUESTIONABLE
Emeka Egbuka,WR,39,229,10,QUESTIONABLE
Quinshon Judkins,RB,40,226.7,11,ACTIVE
Ladd McConkey,WR,41,221,7,ACTIVE
Cam Skattebo,RB,42,227.4,8,ACTIVE
Colston Loveland,TE,43,206.9,10,ACTIVE
Tee Higgins,WR,44,219.3,6,ACTIVE
Davante Adams,WR,45,232.2,11,ACTIVE
Jaylen Waddle,WR,46,213.1,10,ACTIVE
D'Andre Swift,RB,47,210.5,10,ACTIVE
Bhayshul Tuten,RB,48,205.5,7,ACTIVE
Lamar Jackson,QB,49,322.5,13,ACTIVE
Bucky Irving,RB,50,207.1,10,ACTIVE
David Montgomery,RB,51,199.7,8,ACTIVE
Terry McLaurin,WR,52,218.4,7,ACTIVE
DJ Moore,WR,53,209.7,7,ACTIVE
Jadarian Price,RB,54,194.1,11,ACTIVE
Jameson Williams,WR,55,208.6,6,ACTIVE
Tyler Warren,TE,56,210.6,13,QUESTIONABLE
