name,sleeper_id,pos,team,number,age,exp,height,weight,college
Jahmyr Gibbs,9221,RB,DET,0,24,3,69,202,Alabama
Bijan Robinson,9509,RB,ATL,7,24,3,71,215,Texas
Puka Nacua,9493,WR,LAR,12,25,3,74,216,BYU
Ja'Marr Chase,7564,WR,CIN,1,26,5,72,205,LSU
Jaxon Smith-Njigba,9488,WR,SEA,11,24,3,72,197,Ohio State
Amon-Ra St. Brown,7547,WR,DET,14,26,5,72,202,USC
Christian McCaffrey,4034,RB,SF,23,30,9,71,210,Stanford
Jonathan Taylor,6813,RB,IND,28,27,6,70,226,Wisconsin
De'Von Achane,9226,RB,MIA,28,24,3,69,195,Texas A&M
CeeDee Lamb,6786,WR,DAL,88,27,6,74,198,Oklahoma
Justin Jefferson,6794,WR,MIN,18,27,6,73,195,LSU
Drake London,8112,WR,ATL,5,25,4,76,215,USC
James Cook III,8138,RB,BUF,4,26,4,71,190,Georgia
Chase Brown,9224,RB,CIN,30,26,3,70,210,Illinois
Rashee Rice,10229,WR,KC,4,26,3,73,204,SMU
Derrick Henry,3198,RB,BAL,22,32,10,75,252,Alabama
A.J. Brown,5859,WR,NE,1,29,7,73,226,Ole Miss
Saquon Barkley,4866,RB,PHI,26,29,8,72,233,Penn State
Chris Olave,8144,WR,NO,12,26,4,72,187,Ohio State
George Pickens,8137,WR,DAL,3,25,4,75,200,Georgia
Ashton Jeanty,12527,RB,LV,2,22,1,68,208,Boise State
Kenneth Walker,8151,RB,KC,9,25,4,69,211,Michigan State
Nico Collins,7569,WR,HOU,12,27,5,76,222,Michigan
Omarion Hampton,12507,RB,LAC,8,23,1,72,220,North Carolina
Zay Flowers,9997,WR,BAL,4,25,3,69,183,Boston College
Garrett Wilson,8146,WR,NYJ,5,26,4,72,183,Ohio State
Malik Nabers,11632,WR,NYG,1,23,2,72,200,LSU
Jeremiyah Love,13287,RB,ARI,4,21,0,72,212,Notre Dame
Trey McBride,8130,TE,ARI,85,26,4,76,246,Colorado State
DeVonta Smith,7525,WR,PHI,6,27,5,72,170,Alabama
Tetairoa McMillan,12526,WR,CAR,4,23,1,77,212,Arizona
Kyren Williams,8150,RB,LAR,23,26,4,69,207,Notre Dame
Breece Hall,8155,RB,NYJ,20,25,4,71,217,Iowa State
Josh Allen,4984,QB,BUF,17,30,8,77,237,Wyoming
Brock Bowers,11604,TE,LV,89,23,2,76,235,Georgia
Emeka Egbuka,12514,WR,TB,2,23,1,73,205,Ohio State
Javonte Williams,7588,RB,DAL,33,26,5,70,222,North Carolina
Tee Higgins,6801,WR,CIN,5,27,6,76,220,Clemson
Travis Etienne Jr.,7543,RB,NO,3,27,5,70,215,Clemson
Ladd McConkey,11635,WR,LAC,15,24,2,72,185,Georgia
Cam Skattebo,12481,RB,NYG,44,24,1,71,215,Arizona State
Davante Adams,2133,WR,LAR,17,33,12,73,204,Fresno State
D'Andre Swift,6790,RB,CHI,4,27,6,68,204,Georgia
Jaylen Waddle,7526,WR,DEN,17,27,5,70,185,Alabama
Jameson Williams,8148,WR,DET,1,25,4,73,184,Alabama
Bucky Irving,11584,RB,TB,7,24,2,70,195,Oregon
DJ Moore,4983,WR,BUF,2,29,8,72,213,Maryland
Terry McLaurin,5927,WR,WAS,17,30,7,72,210,Ohio State
Quinshon Judkins,12512,RB,CLE,10,22,1,72,221,Ohio State
Drake Maye,11564,QB,NE,10,24,2,76,225,North Carolina
Bhayshul Tuten,12490,RB,JAX,33,23,1,69,209,Virginia Tech
Rome Odunze,11620,WR,CHI,15,24,2,75,214,Washington
Mike Evans,2216,WR,SF,5,33,12,77,231,Texas A&M
Luther Burden III,12519,WR,CHI,10,22,1,72,210,Missouri
Colston Loveland,12517,TE,CHI,84,22,1,78,241,Michigan
Lamar Jackson,4881,QB,BAL,8,29,8,74,205,Louisville
Joe Burrow,6770,QB,CIN,9,29,6,76,215,LSU
David Montgomery,5892,RB,HOU,32,29,7,71,230,Iowa State
Tyler Warren,12518,TE,IND,84,24,1,78,256,Penn State
